Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
568696,8 CFII,09/09/2021,10/20/2021,20.2,41
568697,2 Private,12/18/2018,04/24/2019,53.8,127
568697,3 Inst,05/10/2019,08/26/2019,50.8,108
568697,4 Com Sgl,08/28/2019,01/21/2020,124.5,146
568697,5 Com Mul,10/01/2020,11/20/2020,16.6,50
568697,6 CFI,01/17/2020,06/06/2020,15.0,141
568697,8 CFII,06/23/2020,08/05/2020,9.4,43
568697,9 MEI,11/23/2020,01/13/2021,16.3,51
568698,2 Private,12/18/2018,06/27/2019,66.5,191
568698,3 Inst,07/08/2019,11/20/2019,49.7,135
568698,4 Com Sgl,12/18/2019,09/06/2020,134.1,263
568698,6 CFI,10/05/2020,07/07/2021,51.3,275
568698,8 CFII,07/08/2021,09/03/2021,23.2,57
568700,1 Intro,01/02/2019,01/14/2019,8.1,12
568700,3 Inst,01/15/2019,05/03/2019,51.1,108
568700,4 Com Sgl,05/11/2019,10/03/2019,135.3,145
568700,5 Com Mul,01/30/2020,02/19/2020,16.8,20
568700,8 CFII,02/06/2020,05/27/2020,10.0,111
568701,1 Intro,01/02/2019,01/21/2019,11.9,19
568701,3 Inst,01/22/2019,04/16/2019,51.4,84
568701,4 Com Sgl,03/16/2019,09/25/2019,130.9,193
568701,5 Com Mul,06/18/2020,08/21/2020,5.2,64
568701,8 CFII,02/06/2020,03/24/2020,5.9,47
568702,1 Intro,01/02/2019,02/03/2019,15.9,32
568703,2 Private,12/18/2018,06/18/2019,78.2,182
568703,3 Inst,06/28/2019,09/20/2019,44.2,84
568703,4 Com Sgl,09/27/2019,02/25/2020,139.8,151
568703,5 Com Mul,02/01/2021,04/02/2021,17.4,60
568703,6 CFI,01/17/2020,07/23/2020,26.5,188
568703,8 CFII,10/29/2020,01/23/2021,11.0,86
568703,9 MEI,04/05/2021,07/15/2021,19.0,101
568704,2 Private,12/18/2018,05/02/2019,58.2,135
568704,3 Inst,05/15/2019,09/05/2019,44.1,113
568704,4 Com Sgl,09/06/2019,06/03/2020,138.2,271
568704,6 CFI,06/19/2020,08/18/2020,15.9,60
568704,8 CFII,10/08/2020,08/29/2021,31.1,325
568705,2 Private,12/18/2018,03/26/2019,39.8,98
568705,3 Inst,04/01/2019,05/23/2019,25.0,52
568705,4 Com Sgl,05/31/2019,09/13/2019,130.9,105
568705,5 Com Mul,07/23/2020,03/30/2021,16.7,250
568705,8 CFII,02/06/2020,03/24/2020,1.7,47
568705,9 MEI,04/05/2021,05/12/2021,16.1,37
583256,1 Intro,02/04/2019,02/22/2019,7.3,18
583256,3 Inst,02/25/2019,05/18/2019,35.2,82
583256,4 Com Sgl,05/23/2019,11/05/2019,156.1,166
583256,5 Com Mul,11/14/2019,03/08/2021,18.2,480
583256,6 CFI,02/03/2020,06/13/2020,22.4,131
583256,8 CFII,08/03/2020,09/28/2020,11.2,56
583257,2 Private,02/04/2019,08/03/2019,78.9,180
583257,3 Inst,08/14/2019,02/07/2020,70.1,177
583257,4 Com Sgl,02/17/2020,09/09/2020,132.5,205
583257,5 Com Mul,03/05/2021,05/02/2021,22.3,58
583257,6 CFI,10/05/2020,12/26/2020,22.4,82
583257,8 CFII,12/28/2020,03/04/2021,12.9,66
583258,2 Private,02/04/2019,06/03/2019,57.4,119
583258,3 Inst,06/13/2019,09/25/2019,39.5,104
583258,4 Com Sgl,09/27/2019,07/11/2020,126.9,288
583258,5 Com Mul,07/24/2020,03/22/2021,17.4,241
583258,6 CFI,08/31/2020,01/20/2021,18.3,142
583258,8 CFII,03/24/2021,09/11/2021,14.3,171
583259,2 Private,02/04/2019,04/11/2019,45.8,66
583259,3 Inst,04/24/2019,06/07/2019,29.1,44
583259,4 Com Sgl,06/19/2019,09/12/2019,121.3,85
583259,5 Com Mul,01/30/2020,03/03/2020,18.4,33
583259,6 CFI,10/07/2019,12/05/2019,6.7,59
583259,8 CFII,02/06/2020,05/23/2020,10.7,107
583260,1 Intro,02/04/2019,02/26/2019,6.6,22
583261,1 Intro,02/04/2019,02/27/2019,8.6,23
583261,3 Inst,02/27/2019,05/20/2019,29.3,82
583261,4 Com Sgl,05/23/2019,12/02/2019,161.5,193
583262,1 Intro,02/04/2019,02/18/2019,8.4,14
583262,3 Inst,02/19/2019,04/28/2019,40.3,68
